Al,Co ,Cr,Cu,Fe,Mn,Mo,Nb,Ta,Ti,Si,W,Ni,Temper( C),density(g/cm3)
0,0,0,0,0,0,0,0,0,0,0,0,100,25,8.9
0,0,0,0,0,0,0,0,0,0,0,0,100,100,8.865
0,0,0,0,0,0,0,0,0,0,0,0,100,200,8.816
0,0,0,0,0,0,0,0,0,0,0,0,100,300,8.773
0,0,0,0,0,0,0,0,0,0,0,0,100,400,8.726
0,0,0,0,0,0,0,0,0,0,0,0,100,500,8.68
0,0,0,0,0,0,0,0,0,0,0,0,100,600,8.634
0,0,0,0,0,0,0,0,0,0,0,0,100,700,8.588
0,0,0,0,0,0,0,0,0,0,0,0,100,800,8.542
0,0,0,0,0,0,0,0,0,0,0,0,100,900,8.495
0,0,0,0,0,0,0,0,0,0,0,0,100,1000,8.449
0,0,0,0,0,0,0,0,0,0,0,0,100,1100,8.402
0,0,0,0,0,0,0,0,0,0,0,0,100,1200,8.356
0,0,0,0,0,0,0,0,0,0,0,0,100,1300,8.31
0,0,0,0,0,0,0,0,0,0,0,0,100,1400,8.264
0,0,0,0,0,0,0,0,0,0,0,0,100,1455,8.238
0,0,0,30,1.5,1,0,0,0,0,0,0,67.5,20,8.83
0,0,0,68.3,0.7,0,0,0,0,0,0,0,31,25,8.91
0,0,0,55,0,0,0,0,0,0,0,0,45,25,8.46
2.8,0,0,29,0,0,0,0,0,0.5,0,0,67.7,25,8.46
0,0,16,0.25,6,0.5,0,0,0,0,0.25,0,77,20,8.42
0,1.25,20.5,0,2.3,0.25,14.2,0,0,0,0.04,3.2,58.26,20,8.61
1.4,0,23,0,15.1,0,0,0,0,0,0,0,60.5,25,8.11
1.2,12.5,21.5,0,0,0,9,0,0,0,0,0,55.8,25,8.36
0,0,21,0,0.5,0.5,16,0,0,0.1,0.04,4,57.86,25,8.73
0.3,0,22,0,0,0.25,9,4,0,0.3,0.25,0,63.9,20,8.44
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,25,8.19
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,100,8.16
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,200,8.118
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,300,8.079
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,400,8.04
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,500,8.001
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,600,7.962
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,700,7.925
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,800,7.884
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,900,7.845
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,1000,7.806
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,1100,7.767
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,1170,7.727
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,1336,7.4
0.5,1,19,0.3,16.7,0.35,3.1,5.2,0,0.9,0.35,0,52.6,1500,7.34
0,0,15,0,7,0,0,0,0,2.5,0,0,75.5,25,8.25
0,0,18.5,0,44.8,0,0,0,0,0,1.2,0,35.5,25,8.08
0,0,20,3.5,38.4,0,2.5,0.6,0,0,0,0,35,25,8.05
0,0,22.5,2,19.5,0,7,0,0,0,0,0,49,25,8.3
0,0,15.5,0,5.5,0,16,0,0,0,0,4,59,25,8.89
0,1.5,22,0,18.5,0,9,0,0,0,0,0.6,48.4,25,8.23
0.4,0,21,0,45,0,0,0,0,0.4,0,0,33.2,25,7.95
0,0,18,0,40,0,0,0,0,0,2,0,40,25,7.91
0.5,0,5.5,0,47,0,0,0,0,2.5,0,0,44.5,25,8.1
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,25,8.24
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,100,8.221
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,200,8.193
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,300,8.162
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,400,8.13
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,500,8.095
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,600,8.058
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,700,8.019
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,800,7.978
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,900,7.934
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,1000,7.889
,,,,,,,,,,,,,,
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,1100,7.841
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,1200,7.792
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,1260,7.761
0,0,20,0,0,0,0,0,0,0.4,0,0,79.6,25,8.37
1.5,0,20,0,0,0,0,0,0,2,0,0,76.5,25,8.19
1,0,30,0,0,0,0,0,0,1.8,0,0,67.2,25,8.06
1.4,17,20,0,0,0,0,0,0,2.4,0,0,59.2,25,8.18
5,20,15,0,0,0,5,0,0,1.2,0,0,53.8,25,8.01
5,13,14,0,0,0,3,0,0,4,0,0,61,25,7.85
0.5,20,20,0,0,0,6,0,0,2,0,0,51.5,25,8.36
1,0,16,0,32,0,3,0,0,1,0,0,47,25,8.02
2.1,14,18,0,0,0,7,0,0,2.25,0,0,56.65,25,8.21
1.5,11,19,0,0,0,11,0,0,3.1,0,0,54.4,25,8.25
2.9,18.5,18,0,0,0,4,0,0,2.9,0,0,53.7,25,8.02
4,17,15,0,0,0,5,0,0,3.5,0,0,55.5,25,7.91
1.3,13.5,19.5,0,0,0,4.3,0,0,3,0,0,58.4,25,8.19
0,0,29,0.25,9,0.25,0,0,0,0,0.25,0,61.25,20,8.14
0.2,0,21,0,8,0.2,8,3.5,0,1.35,0.1,0,57.65,25,8.31
0,0,20.5,0.25,45,0.75,0,0,0,1,0.5,0,32,20,7.94
0.1,0,20,2,32,0.5,3,0,0,1,0,0,41.4,20,8.14
0,0.5,0.5,0,1,0.5,28,0,0,0,0,0,69.5,22,9.22
0,1,16,0,1,0.5,16,0,0,0.35,0,0,65.15,20,8.64
0,1.25,22,0,3,0.25,13,0,0,0,0,3,57.5,20,8.69
0,1.25,15.5,0,5.5,0.5,16,0,0,0,0,3.75,57.5,20,8.89
0,1.25,22,2,19.5,1.5,6.5,1,1,0,0.5,0.5,44.25,22,8.31
0,2.5,30,1.75,15,0.75,5,0.5,0.5,0,0.4,2.25,41.35,25,8.22
0.4,1.25,20,0.5,17.5,0.5,9,0.5,0,0,0,0.5,49.85,25,8.33
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,22,8.747
0.8,0.5,16,0,8,0.2,0,0.5,0.5,2.5,0.2,0,70.8,25,8.26
0,53.9,26,0,3,0.8,5,0,0,0,0.3,2,9,25,8.47
1.5,11,19,0,2.5,0.05,10,0,0,3.1,0.25,0,52.6,25,8.25
0.25,1.5,1.5,0.1,1.5,1.5,28.5,0.1,0.1,0.1,0,1.5,63.35,25,9.22
0,20,21,0,30,1.5,3,0.5,0.5,0,0.5,2.5,20.5,25,8.2
0.25,0.5,15,0,1,0.25,22,0,0,0,0.04,0,60.96,25,8.83
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,25,8.08
0.2,0.5,33.2,0.15,1,0.25,8.1,0,0,0,0.3,0.3,56,25,8.22
0.25,1,23,1.6,1.5,0.25,16,0,0,0,0,0,56.4,25,8.5
0.25,0,21,0,1,0.4,17,0,0,0,0,0.5,59.85,25,8.47
0.5,0.5,18,0,19,0.2,3,2.5,2.5,0.9,0.2,0,52.7,25,8.23
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,25,8.44
1.2,12.5,22,0,1,0.1,9,0,0,0.3,0.1,0,53.8,25,8.36
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,25,8.23
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,25,8.27
0.3,20,20,0,0.5,0.4,6,0,0,2.3,0.2,0,50.3,25,8.36
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,25,9.05
3.3,19,19,0,1.5,0.4,7.5,0,0.5,0.5,0.1,0.3,47.9,25,8.18
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,25,8.97
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,25,8.05
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,25,8.98
0.4,0.5,20,0,2.5,0.5,0,0,0,0.4,0.5,0,75.2,25,8.37
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,25,9.07
3.53,8.26,15.85,0,0,0,1.73,2.5,1.73,3.49,0,2.57,60.34,25,8.177
3.53,8.26,15.85,0,0,0,1.73,2.5,1.73,3.49,0,2.57,60.34,127,8.148
3.53,8.26,15.85,0,0,0,1.73,2.5,1.73,3.49,0,2.57,60.34,327,8.08
3.53,8.26,15.85,0,0,0,1.73,2.5,1.73,3.49,0,2.57,60.34,527,8.012
3.53,8.26,15.85,0,0,0,1.73,2.5,1.73,3.49,0,2.57,60.34,727,7.934
3.53,8.26,15.85,0,0,0,1.73,2.5,1.73,3.49,0,2.57,60.34,927,7.84
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,25,8.13
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,127,8.1
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,327,8.037
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,527,7.966
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,727,7.891
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,927,7.798
